title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Last Man Standing (1996),2.660377358,53,"Ghost and the Darkness, The (1996)",Kolya (1996),Being There (1979),"Usual Suspects, The (1995)"
Last Summer in the Hamptons (1995),2.333333333,3,Fried Green Tomatoes (1991),Young Frankenstein (1974),Dave (1993),In the Name of the Father (1993)
"Last Supper, The (1995)",3.448275862,58,"Nightmare Before Christmas, The (1993)","Ice Storm, The (1997)",Gandhi (1982),Interview with the Vampire (1994)
"Last Time I Committed Suicide, The (1997)",2.285714286,7,Hoop Dreams (1994),"People vs. Larry Flynt, The (1996)","Nightmare Before Christmas, The (1993)","Rainmaker, The (1997)"
"Last Time I Saw Paris, The (1954)",3.666666667,3,Cold Comfort Farm (1995),Full Metal Jacket (1987),Clear and Present Danger (1994),Broken Arrow (1996)
"Last of the Mohicans, The (1992)",3.546875,128,Ulee's Gold (1997),Good Will Hunting (1997),My Best Friend's Wedding (1997),William Shakespeare's Romeo and Juliet (1996)
Late Bloomers (1996),3.4,5,Chasing Amy (1997),Secrets & Lies (1996),Rosewood (1997),"People vs. Larry Flynt, The (1996)"
Laura (1944),4.1,40,Crash (1996),Rosewood (1997),"Wrong Trousers, The (1993)",Grumpier Old Men (1995)
Lawnmower Man 2: Beyond Cyberspace (1996),1.714285714,21,Jackie Brown (1997),Donnie Brasco (1997),"Remains of the Day, The (1993)","Philadelphia Story, The (1940)"
"Lawnmower Man, The (1992)",2.446153846,65,Basic Instinct (1992),Wag the Dog (1997),Michael (1996),Conspiracy Theory (1997)
Lawrence of Arabia (1962),4.231213873,173,Beautiful Girls (1996),Good Will Hunting (1997),Being There (1979),My Left Foot (1989)
"Lay of the Land, The (1997)",2.5,4,Toy Story (1995),Tin Cup (1996),Star Trek: First Contact (1996),"Truth About Cats & Dogs, The (1996)"
"Leading Man, The (1996)",3.75,4,"English Patient, The (1996)",Rosewood (1997),Liar Liar (1997),In & Out (1997)
Leave It to Beaver (1997),1.840909091,44,Fried Green Tomatoes (1991),Grumpier Old Men (1995),Miracle on 34th Street (1994),Mary Poppins (1964)
Leaving Las Vegas (1995),3.697986577,298,Wag the Dog (1997),"Ice Storm, The (1997)","Deer Hunter, The (1978)",Raging Bull (1980)
Legal Deceit (1997),3.4,5,Liar Liar (1997),Kiss the Girls (1997),Contact (1997),Alien: Resurrection (1997)
Legends of the Fall (1994),3.456790123,81,"Ghost and the Darkness, The (1996)",Bound (1996),Amistad (1997),Ulee's Gold (1997)
"Leopard Son, The (1996)",1,1,-,-,-,-
"Letter From Death Row, A (1998)",4.333333333,3,Lost Highway (1997),Starship Troopers (1997),"Boot, Das (1981)",Fly Away Home (1996)
Liar Liar (1997),3.156701031,485,Batman Forever (1995),"Mask, The (1994)",Down Periscope (1996),Con Air (1997)
Liebelei (1933),1,1,-,-,-,-
"Life Less Ordinary, A (1997)",3.075471698,53,Pinocchio (1940),Star Trek: The Motion Picture (1979),Pink Floyd - The Wall (1982),"Magnificent Seven, The (1954)"
Life with Mikey (1993),2.285714286,7,Crimson Tide (1995),Grosse Pointe Blank (1997),Multiplicity (1996),Eraser (1996)
Lightning Jack (1994),3,10,Some Like It Hot (1959),Evita (1996),"River Wild, The (1994)",Fried Green Tomatoes (1991)
Like Water For Chocolate (Como agua para chocolate) (1992),3.804054054,148,Waterworld (1995),Rosewood (1997),"Manchurian Candidate, The (1962)",Lone Star (1996)
"Line King: Al Hirschfeld, The (1996)",3,2,Four Weddings and a Funeral (1994),"Empire Strikes Back, The (1980)",Cold Comfort Farm (1995),Jaws (1975)
"Lion King, The (1994)",3.781818182,220,"Ice Storm, The (1997)","Manchurian Candidate, The (1962)","Craft, The (1996)",Beauty and the Beast (1991)
Little Big League (1994),2.875,16,Down Periscope (1996),"Ghost and the Darkness, The (1996)",Swingers (1996),"Killing Fields, The (1984)"
Little Buddha (1993),3.318181818,22,G.I. Jane (1997),Lost Highway (1997),Patton (1970),Volcano (1997)
Little City (1998),3.5,2,-,-,-,-
Little Lord Fauntleroy (1936),3.166666667,12,Primal Fear (1996),Good Will Hunting (1997),Kingpin (1996),"Craft, The (1996)"
Little Odessa (1994),2.6,10,Stargate (1994),"Ghost and the Darkness, The (1996)","Crow, The (1994)",Mimic (1997)
"Little Princess, A (1995)",3.658536585,41,Alien: Resurrection (1997),Absolute Power (1997),Young Guns (1988),"Game, The (1997)"
"Little Princess, The (1939)",3.555555556,9,Raising Arizona (1987),Platoon (1986),GoldenEye (1995),On Golden Pond (1981)
"Little Rascals, The (1994)",2.722222222,18,Ulee's Gold (1997),Amistad (1997),"Ice Storm, The (1997)",Spawn (1997)
Little Women (1994),3.676470588,102,Fly Away Home (1996),M*A*S*H (1970),My Best Friend's Wedding (1997),Amistad (1997)
Live Nude Girls (1995),3.086956522,23,Boogie Nights (1997),"Edge, The (1997)",Spawn (1997),Miracle on 34th Street (1994)
Living in Oblivion (1995),3.740740741,27,"Magnificent Seven, The (1954)",Kolya (1996),"Sex, Lies, and Videotape (1989)","Killing Fields, The (1984)"
Loaded (1994),2.4,5,Multiplicity (1996),Cold Comfort Farm (1995),Dragonheart (1996),G.I. Jane (1997)
Local Hero (1983),3.968253968,63,Spawn (1997),Rosewood (1997),"Lost World: Jurassic Park, The (1997)",Executive Decision (1996)
Loch Ness (1995),2.5,4,Happy Gilmore (1996),Schindler's List (1993),Eraser (1996),Mystery Science Theater 3000: The Movie (1996)
"Locusts, The (1997)",2,5,Apollo 13 (1995),Braveheart (1995),Courage Under Fire (1996),When Harry Met Sally... (1989)
Lone Star (1996),4.053475936,187,Cold Comfort Farm (1995),"Good, The Bad and The Ugly, The (1966)",My Left Foot (1989),Rosewood (1997)
"Long Kiss Goodnight, The (1996)",3.47027027,185,Some Like It Hot (1959),"Deer Hunter, The (1978)",Crimson Tide (1995),Con Air (1997)
Looking for Richard (1996),3.727272727,55,Fly Away Home (1996),"Close Shave, A (1995)",On Golden Pond (1981),"Abyss, The (1989)"
Lord of Illusions (1995),2.416666667,24,Emma (1996),"Close Shave, A (1995)",Kiss the Girls (1997),Four Weddings and a Funeral (1994)
Losing Chase (1996),3.25,8,"Hudsucker Proxy, The (1994)",Jackie Chan's First Strike (1996),"River Wild, The (1994)","Saint, The (1997)"
Losing Isaiah (1995),3,12,My Best Friend's Wedding (1997),"Rainmaker, The (1997)",Alien: Resurrection (1997),Basic Instinct (1992)
Lost Highway (1997),3.136,125,"Philadelphia Story, The (1940)",Down Periscope (1996),Michael (1996),Big Night (1996)
Lost Horizon (1937),3.941176471,34,Happy Gilmore (1996),Donnie Brasco (1997),Welcome to the Dollhouse (1995),Austin Powers: International Man of Mystery (1997)
"Lost World: Jurassic Park, The (1997)",2.943037975,158,Pretty Woman (1990),"Magnificent Seven, The (1954)",Star Trek III: The Search for Spock (1984),"Ghost and the Darkness, The (1996)"
Lost in Space (1998),3.166666667,18,Chinatown (1974),Bound (1996),Taxi Driver (1976),"Maltese Falcon, The (1941)"
Lotto Land (1995),1,1,-,-,-,-
Love & Human Remains (1993),3.166666667,12,Bram Stoker's Dracula (1992),Eraser (1996),Tombstone (1993),Scream 2 (1997)
Love Affair (1994),2.833333333,12,Event Horizon (1997),Hoop Dreams (1994),My Best Friend's Wedding (1997),Good Will Hunting (1997)
"Love Bug, The (1969)",2.78,50,Welcome to the Dollhouse (1995),Primal Fear (1996),My Best Friend's Wedding (1997),James and the Giant Peach (1996)
Love Is All There Is (1996),3,1,-,-,-,-
Love Jones (1997),3.095238095,42,Batman Forever (1995),"Godfather: Part II, The (1974)",Mr. Smith Goes to Washington (1939),"Good, The Bad and The Ugly, The (1966)"
Love Serenade (1996),3,4,George of the Jungle (1997),Mars Attacks! (1996),Top Gun (1986),Sleepless in Seattle (1993)
Love and Death on Long Island (1997),2.5,2,"Devil's Advocate, The (1997)",Starship Troopers (1997),Heat (1995),"Clockwork Orange, A (1971)"
Love and Other Catastrophes (1996),2.857142857,7,James and the Giant Peach (1996),Rumble in the Bronx (1995),Big Night (1996),Leaving Las Vegas (1995)
Love and a .45 (1994),3.125,8,True Romance (1993),Carrie (1976),As Good As It Gets (1997),Cop Land (1997)
Love in the Afternoon (1957),3.9,10,My Best Friend's Wedding (1997),William Shakespeare's Romeo and Juliet (1996),Glory (1989),Beauty and the Beast (1991)
Love! Valour! Compassion! (1997),3.615384615,26,Highlander (1986),Eraser (1996),Waterworld (1995),"Edge, The (1997)"
Lover's Knot (1996),2,3,"Remains of the Day, The (1993)",Ulee's Gold (1997),Eraser (1996),Starship Troopers (1997)
"Low Down Dirty Shame, A (1994)",2.5,10,"Abyss, The (1989)",Cool Hand Luke (1967),Courage Under Fire (1996),Jackie Chan's First Strike (1996)
"Low Life, The (1994)",1,1,-,-,-,-
M (1931),4,44,Grumpier Old Men (1995),Executive Decision (1996),What's Eating Gilbert Grape (1993),As Good As It Gets (1997)
M*A*S*H (1970),3.912621359,206,Little Women (1994),Ulee's Gold (1997),"Wrong Trousers, The (1993)",Chinatown (1974)
M. Butterfly (1993),3.222222222,18,Annie Hall (1977),"Edge, The (1997)",Rosewood (1997),Army of Darkness (1993)
MURDER and murder (1996),2,1,-,-,-,-
Ma vie en rose (My Life in Pink) (1997),3.45,20,Grumpier Old Men (1995),Star Trek: Generations (1994),Multiplicity (1996),"Ghost and the Darkness, The (1996)"
"Machine, The (1994)",1.5,2,"Frighteners, The (1996)",Jackie Chan's First Strike (1996),Mystery Science Theater 3000: The Movie (1996),"Rock, The (1996)"
Mad City (1997),3.255319149,47,"Killing Fields, The (1984)",Sneakers (1992),"Nightmare Before Christmas, The (1993)","First Wives Club, The (1996)"
Mad Dog Time (1996),3,1,-,-,-,-
Mad Love (1995),2.153846154,13,Down Periscope (1996),Cold Comfort Farm (1995),101 Dalmatians (1996),Evita (1996)
Madame Butterfly (1995),3.571428571,7,Heat (1995),Leaving Las Vegas (1995),While You Were Sleeping (1995),Sabrina (1995)
Made in America (1993),2.518518519,27,Cop Land (1997),Secrets & Lies (1996),Dante's Peak (1997),Dragonheart (1996)
"Madness of King George, The (1994)",3.769230769,91,Bound (1996),Waterworld (1995),Ulee's Gold (1997),My Left Foot (1989)
Madonna: Truth or Dare (1991),2.470588235,17,Jackie Brown (1997),Gattaca (1997),Ulee's Gold (1997),Mimic (1997)
"Magic Hour, The (1998)",3.6,5,My Left Foot (1989),Tomorrow Never Dies (1997),Dante's Peak (1997),"Crow, The (1994)"
"Magnificent Seven, The (1954)",3.94214876,121,"Lost World: Jurassic Park, The (1997)","Wrong Trousers, The (1993)",What's Eating Gilbert Grape (1993),Clerks (1994)
Major Payne (1994),2.473684211,19,Fly Away Home (1996),As Good As It Gets (1997),Apt Pupil (1998),Cool Hand Luke (1967)
Malice (1993),3.173913043,46,G.I. Jane (1997),Spawn (1997),"Boot, Das (1981)","Wrong Trousers, The (1993)"
Mallrats (1995),3.444444444,54,Cool Hand Luke (1967),Ulee's Gold (1997),"Wrong Trousers, The (1993)","Bridge on the River Kwai, The (1957)"
"Maltese Falcon, The (1941)",4.210144928,138,Beautiful Girls (1996),Swingers (1996),Casablanca (1942),James and the Giant Peach (1996)
Mamma Roma (1962),4,1,-,-,-,-
"Man Who Knew Too Little, The (1997)",2.923076923,52,"Philadelphia Story, The (1940)","Good, The Bad and The Ugly, The (1966)","Mask, The (1994)","Maltese Falcon, The (1941)"
"Man Who Would Be King, The (1975)",4.025,80,My Left Foot (1989),Jackie Brown (1997),Austin Powers: International Man of Mystery (1997),"Frighteners, The (1996)"
"Man Without a Face, The (1993)",3.544117647,68,Scream 2 (1997),Jungle2Jungle (1997),Murder at 1600 (1997),Crash (1996)
"Man from Down Under, The (1943)",1,1,-,-,-,-
"Man in the Iron Mask, The (1998)",3.416666667,12,"Room with a View, A (1986)",In the Line of Fire (1993),"Last of the Mohicans, The (1992)",Ben-Hur (1959)
"Man of No Importance, A (1994)",3.428571429,7,"Frighteners, The (1996)",Mars Attacks! (1996),Grosse Pointe Blank (1997),Swingers (1996)
Man of the House (1995),2.111111111,9,"Craft, The (1996)",Gattaca (1997),"Right Stuff, The (1983)","Great Escape, The (1963)"
Man of the Year (1995),3.111111111,9,Back to the Future (1985),In the Name of the Father (1993),"Devil's Own, The (1997)",Stand by Me (1986)
"Manchurian Candidate, The (1962)",4.259541985,131,"Cable Guy, The (1996)",Strictly Ballroom (1992),Crimson Tide (1995),Under Siege (1992)
Manhattan (1979),3.769230769,91,Benny & Joon (1993),Annie Hall (1977),Glory (1989),Wag the Dog (1997)
Manhattan Murder Mystery (1993),3.62962963,27,"Craft, The (1996)","Ice Storm, The (1997)",Babe (1995),Amistad (1997)
Manny & Lo (1996),3.153846154,13,"Sound of Music, The (1965)",Ghost (1990),Grease (1978),Father of the Bride Part II (1995)
Manon of the Spring (Manon des sources) (1986),4.120689655,58,Crash (1996),"Net, The (1995)",Dante's Peak (1997),Con Air (1997)
Margaret's Museum (1995),4,6,Clueless (1995),Natural Born Killers (1994),Twelve Monkeys (1995),"Rock, The (1996)"
"Mark of Zorro, The (1940)",3.615384615,13,Conspiracy Theory (1997),"Lost World: Jurassic Park, The (1997)",Reservoir Dogs (1992),Event Horizon (1997)
Marked for Death (1990),2.5,22,Little Women (1994),Mother (1996),Everyone Says I Love You (1996),Fly Away Home (1996)
Marlene Dietrich: Shadow and Light (1996) ,5,1,-,-,-,-
Mars Attacks! (1996),2.847926267,217,Lost Highway (1997),Alien: Resurrection (1997),"Devil's Advocate, The (1997)",Mystery Science Theater 3000: The Movie (1996)
Marvin's Room (1996),3.58974359,78,Army of Darkness (1993),Natural Born Killers (1994),Cape Fear (1991),Mother (1996)
Mary Poppins (1964),3.724719101,178,"Sound of Music, The (1965)",Austin Powers: International Man of Mystery (1997),My Fair Lady (1964),Kiss the Girls (1997)
Mary Reilly (1996),2.820512821,39,"Nightmare Before Christmas, The (1993)",William Shakespeare's Romeo and Juliet (1996),Alien: Resurrection (1997),"Killing Fields, The (1984)"
Mary Shelley's Frankenstein (1994),3.06779661,59,Seven Years in Tibet (1997),Michael (1996),Cop Land (1997),My Best Friend's Wedding (1997)
"Mask, The (1994)",3.19379845,129,As Good As It Gets (1997),"Hunchback of Notre Dame, The (1996)",Volcano (1997),Tomorrow Never Dies (1997)
Mat' i syn (1997),1,1,-,-,-,-
"MatchMaker, The (1997)",3.176470588,51,Welcome to the Dollhouse (1995),"Sex, Lies, and Videotape (1989)",Beavis and Butt-head Do America (1996),"Killing Fields, The (1984)"
Matilda (1996),3.210526316,95,Good Will Hunting (1997),Austin Powers: International Man of Mystery (1997),Star Trek: Generations (1994),Stand by Me (1986)
Maverick (1994),3.46875,128,Starship Troopers (1997),"Ice Storm, The (1997)","Peacemaker, The (1997)",Murder at 1600 (1997)
Maximum Risk (1996),2.8,20,Ulee's Gold (1997),In the Name of the Father (1993),Mighty Aphrodite (1995),Seven Years in Tibet (1997)
Maya Lin: A Strong Clear Vision (1994),4.5,4,Blade Runner (1982),Fargo (1996),Aliens (1986),Ed Wood (1994)
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",3.5,8,Jungle2Jungle (1997),Star Trek: The Wrath of Khan (1982),Dragonheart (1996),Mother (1996)
McHale's Navy (1997),2.188405797,69,101 Dalmatians (1996),"Sound of Music, The (1965)","Great Escape, The (1963)",One Fine Day (1996)
Mediterraneo (1991),3.676470588,34,Spawn (1997),Outbreak (1995),Bram Stoker's Dracula (1992),"Wrong Trousers, The (1993)"
Meet John Doe (1941),3.92,25,Seven Years in Tibet (1997),"Professional, The (1994)",Reservoir Dogs (1992),Jungle2Jungle (1997)
Meet Me in St. Louis (1944),3.35483871,31,"Peacemaker, The (1997)","Frighteners, The (1996)",Grumpier Old Men (1995),Father of the Bride Part II (1995)
Meet Wally Sparks (1997),2.142857143,7,"Close Shave, A (1995)",Kolya (1996),Under Siege (1992),Everyone Says I Love You (1996)
Men With Guns (1997),3.5,2,"Full Monty, The (1997)",Trainspotting (1996),Rumble in the Bronx (1995),"Postino, Il (1994)"
Men in Black (1997),3.745874587,303,Tomorrow Never Dies (1997),Michael (1996),As Good As It Gets (1997),Back to the Future (1985)
Men of Means (1998),2,2,G.I. Jane (1997),Seven Years in Tibet (1997),Amistad (1997),Contact (1997)
Menace II Society (1993),3.46,50,My Left Foot (1989),As Good As It Gets (1997),"Sex, Lies, and Videotape (1989)",Ulee's Gold (1997)
Mercury Rising (1998),3.428571429,7,Jaws (1975),Phenomenon (1996),"Net, The (1995)",Ulee's Gold (1997)
Metisse (Café au Lait) (1993),2.333333333,6,Fly Away Home (1996),Top Gun (1986),Die Hard: With a Vengeance (1995),Heathers (1989)
Metro (1997),2.916666667,36,Everyone Says I Love You (1996),Kolya (1996),Scream 2 (1997),Strictly Ballroom (1992)
Miami Rhapsody (1995),2.6,15,Event Horizon (1997),Happy Gilmore (1996),Strictly Ballroom (1992),Ulee's Gold (1997)
Michael (1996),3.319327731,119,Home Alone (1990),"Great Escape, The (1963)",Lost Highway (1997),Ghost (1990)
Michael Collins (1996),3.456521739,92,Con Air (1997),"Philadelphia Story, The (1940)",Absolute Power (1997),Beautiful Girls (1996)
Microcosmos: Le peuple de l'herbe (1996),3.75,24,Patton (1970),Conan the Barbarian (1981),Dumbo (1941),"Deer Hunter, The (1978)"
Midnight Dancers (Sibak) (1994),2.8,5,Cold Comfort Farm (1995),Chasing Amy (1997),"Long Kiss Goodnight, The (1996)",Kolya (1996)
Midnight in the Garden of Good and Evil (1997),3.1625,80,"Craft, The (1996)",My Fair Lady (1964),Grumpier Old Men (1995),Little Women (1994)
Mighty Aphrodite (1995),3.418478261,184,Lost Highway (1997),"Deer Hunter, The (1978)","People vs. Larry Flynt, The (1996)",Wag the Dog (1997)
Mighty Morphin Power Rangers: The Movie (1995),2.272727273,11,"Great Escape, The (1963)",Lawrence of Arabia (1962),"Manchurian Candidate, The (1962)","Killing Fields, The (1984)"
"Mighty, The (1998)",1,3,-,-,-,-
Milk Money (1994),2.72972973,37,Independence Day (ID4) (1996),Fried Green Tomatoes (1991),Michael (1996),Sleepless in Seattle (1993)
Mille bolle blu (1993),1,1,-,-,-,-
Miller's Crossing (1990),3.651685393,89,True Romance (1993),Donnie Brasco (1997),"Wrong Trousers, The (1993)",Mimic (1997)
Mimic (1997),2.742574257,101,Pinocchio (1940),"Bridge on the River Kwai, The (1957)",Under Siege (1992),Miracle on 34th Street (1994)
Mina Tannenbaum (1994),3.666666667,6,Kolya (1996),Liar Liar (1997),"Frighteners, The (1996)",Swingers (1996)
Miracle on 34th Street (1994),3.722772277,101,Alien: Resurrection (1997),Rosewood (1997),Mimic (1997),It's a Wonderful Life (1946)
Mirage (1995),3,1,-,-,-,-
"Mirror Has Two Faces, The (1996)",3.363636364,66,Alien: Resurrection (1997),"Great Escape, The (1963)",Ghost (1990),Con Air (1997)
Mission: Impossible (1996),3.313953488,344,GoldenEye (1995),Cinderella (1950),Miracle on 34th Street (1994),Batman Forever (1995)
"Misérables, Les (1995)",3.619047619,21,G.I. Jane (1997),Event Horizon (1997),"Wrong Trousers, The (1993)",Army of Darkness (1993)
Mixed Nuts (1994),2.533333333,15,"First Wives Club, The (1996)",G.I. Jane (1997),Good Will Hunting (1997),Secrets & Lies (1996)
"Modern Affair, A (1995)",1,1,-,-,-,-
Moll Flanders (1996),3.5,42,Alien: Resurrection (1997),Kiss the Girls (1997),In the Name of the Father (1993),12 Angry Men (1957)
Mondo (1996),3,3,Fly Away Home (1996),Rosewood (1997),Air Force One (1997),"Peacemaker, The (1997)"
Money Talks (1997),2.815217391,92,Mr. Smith Goes to Washington (1939),"Boot, Das (1981)",Batman (1989),Beauty and the Beast (1991)
Money Train (1995),2.511627907,43,My Left Foot (1989),Down Periscope (1996),Seven Years in Tibet (1997),Kolya (1996)
"Month by the Lake, A (1995)",3.333333333,9,"Manchurian Candidate, The (1962)","Adventures of Priscilla, Queen of the Desert, The (1994)",Bram Stoker's Dracula (1992),"Crow, The (1994)"
Monty Python and the Holy Grail (1974),4.066455696,316,Monty Python's Life of Brian (1979),Ulee's Gold (1997),"Magnificent Seven, The (1954)","Philadelphia Story, The (1940)"
Monty Python's Life of Brian (1979),3.747126437,174,Crash (1996),"Hudsucker Proxy, The (1994)",Monty Python and the Holy Grail (1974),Welcome to the Dollhouse (1995)
Moonlight and Valentino (1995),2.571428571,7,Army of Darkness (1993),Rear Window (1954),"Magnificent Seven, The (1954)",Butch Cassidy and the Sundance Kid (1969)
Mortal Kombat (1995),2.87755102,49,Seven Years in Tibet (1997),Kiss the Girls (1997),"Edge, The (1997)","Peacemaker, The (1997)"
Mortal Kombat: Annihilation (1997),1.953488372,43,Cape Fear (1991),"Philadelphia Story, The (1940)",Cop Land (1997),Welcome to the Dollhouse (1995)
"Mostro, Il (1994)",1,1,-,-,-,-
Mother (1996),3.130177515,169,Platoon (1986),Natural Born Killers (1994),Real Genius (1985),Basic Instinct (1992)
Mother Night (1996),3.181818182,22,Dragonheart (1996),Amistad (1997),Good Will Hunting (1997),Mr. Smith Goes to Washington (1939)
Mouse Hunt (1997),2.477272727,44,"Nightmare on Elm Street, A (1984)",Arsenic and Old Lace (1944),Indiana Jones and the Last Crusade (1989),"Lost World: Jurassic Park, The (1997)"
Mr. Holland's Opus (1995),3.778156997,293,Pretty Woman (1990),William Shakespeare's Romeo and Juliet (1996),Good Will Hunting (1997),On Golden Pond (1981)
Mr. Jones (1993),2.5,2,In the Name of the Father (1993),Harold and Maude (1971),Pulp Fiction (1994),"Professional, The (1994)"
Mr. Magoo (1997),1.916666667,12,Grosse Pointe Blank (1997),Arsenic and Old Lace (1944),"Blues Brothers, The (1980)",True Romance (1993)
Mr. Smith Goes to Washington (1939),4.123809524,105,Rosewood (1997),Arsenic and Old Lace (1944),It's a Wonderful Life (1946),Kingpin (1996)
Mr. Wonderful (1993),3,4,-,-,-,-
Mr. Wrong (1996),2.304347826,23,Ulee's Gold (1997),Jungle2Jungle (1997),Taxi Driver (1976),Bonnie and Clyde (1967)
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.947916667,96,True Romance (1993),Army of Darkness (1993),"Nightmare Before Christmas, The (1993)","Close Shave, A (1995)"
Mrs. Dalloway (1997),3.6,15,Mr. Holland's Opus (1995),Return of the Jedi (1983),Cape Fear (1991),"Right Stuff, The (1983)"
Mrs. Doubtfire (1993),3.411458333,192,G.I. Jane (1997),Kiss the Girls (1997),Good Will Hunting (1997),Grumpier Old Men (1995)
Mrs. Parker and the Vicious Circle (1994),3.272727273,22,Dante's Peak (1997),Michael (1996),As Good As It Gets (1997),Amistad (1997)
Mrs. Winterbourne (1996),3.045454545,22,Bound (1996),"Ghost and the Darkness, The (1996)","Long Kiss Goodnight, The (1996)",Everyone Says I Love You (1996)
Much Ado About Nothing (1993),4.0625,176,"Manchurian Candidate, The (1962)",Little Women (1994),"Killing Fields, The (1984)","Boot, Das (1981)"
Mulholland Falls (1996),2.87804878,82,"Craft, The (1996)",On Golden Pond (1981),Little Women (1994),Dragonheart (1996)
Multiplicity (1996),2.835820896,134,Scream 2 (1997),Eraser (1996),Bonnie and Clyde (1967),Murder at 1600 (1997)
Muppet Treasure Island (1996),2.761904762,84,"Room with a View, A (1986)",Amistad (1997),George of the Jungle (1997),G.I. Jane (1997)
Murder at 1600 (1997),3.087155963,218,Absolute Power (1997),101 Dalmatians (1996),Outbreak (1995),Dragonheart (1996)
Murder in the First (1995),3.6,60,Spawn (1997),Big Night (1996),Absolute Power (1997),Crash (1996)
"Murder, My Sweet (1944)",3.555555556,9,Reservoir Dogs (1992),Tomorrow Never Dies (1997),Dante's Peak (1997),Monty Python's Life of Brian (1979)
Muriel's Wedding (1994),3.55,100,Scream 2 (1997),What's Eating Gilbert Grape (1993),"Ice Storm, The (1997)",Lone Star (1996)
Mute Witness (1994),2.941176471,17,My Fair Lady (1964),Father of the Bride Part II (1995),"Peacemaker, The (1997)",My Best Friend's Wedding (1997)
My Best Friend's Wedding (1997),3.360465116,172,Conan the Barbarian (1981),Pretty Woman (1990),Stargate (1994),Little Women (1994)
My Crazy Life (Mi vida loca) (1993),3.181818182,11,Jackie Chan's First Strike (1996),Big Night (1996),Air Force One (1997),"Wrong Trousers, The (1993)"
My Fair Lady (1964),3.816,125,"Devil's Advocate, The (1997)","Devil's Own, The (1997)",G.I. Jane (1997),Sabrina (1995)
My Family (1995),3.666666667,21,Dante's Peak (1997),Fly Away Home (1996),William Shakespeare's Romeo and Juliet (1996),Cold Comfort Farm (1995)
My Favorite Season (1993),3.666666667,3,Pulp Fiction (1994),Indiana Jones and the Last Crusade (1989),Emma (1996),Die Hard: With a Vengeance (1995)
My Favorite Year (1982),3.532258065,62,Mimic (1997),Beautiful Girls (1996),"Crow, The (1994)",My Left Foot (1989)
My Fellow Americans (1996),3.162790698,86,Star Trek VI: The Undiscovered Country (1991),Heathers (1989),Star Trek IV: The Voyage Home (1986),Rosewood (1997)
My Left Foot (1989),3.851239669,121,Cold Comfort Farm (1995),Con Air (1997),"Philadelphia Story, The (1940)",Lone Star (1996)
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2,2,Leaving Las Vegas (1995),Trainspotting (1996),Chasing Amy (1997),Cold Comfort Farm (1995)
My Life as a Dog (Mitt liv som hund) (1985),3.978494624,93,"Wrong Trousers, The (1993)",What's Eating Gilbert Grape (1993),Kolya (1996),Spawn (1997)
My Man Godfrey (1936),4.037037037,27,Jackie Chan's First Strike (1996),Rosewood (1997),Cop Land (1997),Evita (1996)
My Own Private Idaho (1991),3.633333333,30,"Peacemaker, The (1997)",Amistad (1997),Kiss the Girls (1997),Tombstone (1993)
Mystery Science Theater 3000: The Movie (1996),3.430769231,130,"Ice Storm, The (1997)",Ulee's Gold (1997),"Deer Hunter, The (1978)",Bonnie and Clyde (1967)
Nadja (1994),2.25,8,Fly Away Home (1996),Platoon (1986),My Fair Lady (1964),"Sex, Lies, and Videotape (1989)"
Naked (1993),3.24,25,George of the Jungle (1997),Star Trek: The Motion Picture (1979),Murder at 1600 (1997),Dante's Peak (1997)
Naked Gun 33 1/3: The Final Insult (1994),2.782608696,69,Army of Darkness (1993),Down Periscope (1996),Welcome to the Dollhouse (1995),Murder at 1600 (1997)
Naked in New York (1994),1.5,2,"Long Kiss Goodnight, The (1996)","Full Monty, The (1997)","Fish Called Wanda, A (1988)",In & Out (1997)
National Lampoon's Senior Trip (1995),2.428571429,7,"Adventures of Priscilla, Queen of the Desert, The (1994)",Benny & Joon (1993),Men in Black (1997),Down Periscope (1996)
Natural Born Killers (1994),2.953125,128,Mother (1996),True Romance (1993),Heathers (1989),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Nell (1994),3.481481481,81,Rosewood (1997),"River Wild, The (1994)",Kiss the Girls (1997),G.I. Jane (1997)
Nelly & Monsieur Arnaud (1995),3.666666667,3,Fly Away Home (1996),Cool Hand Luke (1967),"Postino, Il (1994)","Cable Guy, The (1996)"
Nemesis 2: Nebula (1995),2,1,-,-,-,-
"Neon Bible, The (1995)",1.75,4,Fly Away Home (1996),Beavis and Butt-head Do America (1996),"Fugitive, The (1993)",Mother (1996)
"Net, The (1995)",3.008333333,120,Down Periscope (1996),While You Were Sleeping (1995),My Best Friend's Wedding (1997),"Ghost and the Darkness, The (1996)"
"NeverEnding Story III, The (1994)",2.166666667,12,Jungle2Jungle (1997),True Romance (1993),Welcome to the Dollhouse (1995),Mighty Aphrodite (1995)
"New Age, The (1994)",1,1,-,-,-,-
New Jersey Drive (1995),3,2,Beauty and the Beast (1991),What's Eating Gilbert Grape (1993),Clueless (1995),"Crow, The (1994)"
